sitename,cond_mean_ann
AR-SLu,397.55734407901764
AT-Neu,348.1183804652908
AU-ASM,404.5132589459419
AU-Cow,401.6838603973389
AU-Cpr,391.53043667475384
AU-Ctr,401.2483204603195
AU-Cum,395.57730222741765
AU-DaP,402.6630790233612
AU-DaS,402.78089300791424
AU-Dry,402.8781921863556
AU-Emr,400.8846258223057
AU-GWW,398.2017516136169
AU-Gin,394.7250570456187
AU-How,402.1819031371011
AU-Lit,404.1336712241173
AU-Otw,374.9653621315956
AU-Rig,383.12427767117816
AU-Rob,404.8550565838814
AU-Sam,399.53740298748016
AU-Stp,403.44053535660106
AU-TTE,404.4405999779701
AU-Tum,373.0699262022972
AU-Whr,382.03474670648575
AU-Wrr,364.92168575525284
AU-Ync,400.6135284543037
BE-Bra,357.69628699801183
BE-Dor,357.2525162100792
BE-Lcr,362.5213344693184
BE-Maa,360.23964524269104
BE-Vie,349.7039304673672
BR-Npw,402.11461412906647
BR-Sa3,402.0723559856415
CA-Ca1,177.0459203198552
CA-Ca2,186.34781654775142
CA-Cbo,329.2561076010267
CA-Gro,299.0920899093151
CA-LP1,306.11832270771265
CA-NS1,260.4043352752924
CA-NS2,248.64602315425873
CA-NS3,285.6664719382922
CA-NS5,242.63086669147015
CA-NS6,254.2839147001505
CA-NS7,247.063286177814
CA-Qcu,280.03628158941865
CA-Qfo,282.1814610298191
CA-TP1,342.05842941999435
CA-TP3,336.89183146059514
CA-TPD,341.1454304556052
CH-Aws,190.1194689248999
CH-Cha,356.5475540106947
CH-Dav,346.002751831825
CH-Fru,354.914094209671
CH-Lae,346.37176102399826
CH-Oe1,347.92620981733006
CN-Cha,313.0663166542848
CN-Cng,308.71532544493675
CN-Dan,401.98256880044937
CN-Din,391.2056473692258
CN-Du2,314.8508708178997
CN-HaM,368.3301237821579
CN-Qia,376.93803085883457
CZ-BK1,345.6946730852127
CZ-Lnz,355.7394864857197
CZ-RAJ,203.68126612073846
CZ-Stn,210.51273061606017
DE-Bay,336.64426577091217
DE-Gri,352.0821999828021
DE-Hai,346.1750278009309
DE-HoH,352.32605414589244
DE-Hzd,349.26464104652405
DE-Obe,340.0159614731868
DE-RuR,350.81564939022064
DE-RuW,349.5571373179555
DE-Tha,348.3438059609869
DE-Wet,332.18012949824333
DK-Lva,299.360003054142
DK-Sor,341.42973412945867
ES-Abr,195.46158574223517
ES-Agu,226.444526212556
ES-Cnd,212.50315358738104
ES-ES1,384.75018388032913
ES-LJu,386.34701777100565
ES-LM1,210.75335674484572
ES-LM2,210.79436429341635
ES-LMa,380.3818572163582
ES-LgS,362.6732183098793
FI-Hyy,313.4541875228286
FI-Ken,286.0653202285369
FI-Let,321.4025518975475
FI-Sod,281.10957489056244
FI-Var,280.3373478889465
FR-Bil,205.31081534425417
FR-FBn,378.8613157023986
FR-Fon,359.2390526160598
FR-Hes,NA
FR-LBr,368.443629493316
FR-Lq1,349.1528100371361
FR-Lq2,349.4200366139412
FR-Pue,373.03071994015147
FR-Tou,376.3428116639455
GF-Guy,401.36953119933605
GL-Dsk,261.89240522682667
HU-Bug,350.82791036367416
IL-Yat,235.51328594817056
IT-Amp,360.04327328999835
IT-BFt,185.12025874853134
IT-CA1,381.20805728435516
IT-CA3,378.8810932338238
IT-Col,364.05050083994865
IT-Cp2,381.43288177251816
IT-Cpz,380.92721951007843
IT-Isp,373.68280893564224
IT-Lav,359.2823605371846
IT-Lsn,370.7877748250961
IT-MBo,350.43089984522925
IT-Noe,383.26502098639804
IT-PT1,363.14493054151535
IT-Ren,348.1199713306768
IT-Ro1,380.92040143013
IT-Ro2,379.0306938787301
IT-SR2,379.34090761840343
IT-SRo,373.95709608495235
IT-Tor,353.70507620771724
JP-SMF,370.15100683271885
NL-Hor,357.8086121082306
NL-Loo,353.8805925789334
PT-Mi2,372.5913682579994
RU-Fy2,160.14966613054276
RU-Fyo,313.9386183023453
SD-Dem,404.68319725990295
SE-Htm,346.49200488130253
SE-Nor,NA
SE-Ros,169.7590434372425
SE-Svb,313.0990617573261
US-AR1,372.17709824442863
