sitename,pet_p,aet_p,aet_corr_p_cond,aet_corr_p,aet_p_cond,pet_p_cond,res,res_corr,res_cond,res_corr_cond
AR-SLu,5.000025160287807,1.0137346193341057,0.35740571110962116,0.761412719871076,0.4758451402819944,2.3470024880609377,0.05641276274966556,-0.23398074055215068,-0.19805571903020625,-0.47923473424568663
AT-Neu,1.1547110566758885,0.682823006180698,0.6359271832039619,0.9670563501785878,0.4490180027949391,0.759327157668487,-0.030233556692707997,0.13024362956512414,0.032092492850753995,0.10062315976609182
AU-ASM,5.806069859874652,0.8427932819932721,0.5102000445727877,1.0799608508608538,0.3981562569567768,2.7429300783815496,-0.12257334331770109,0.08310705840424881,-0.30500126114514636,-0.35214663763889864
AU-Cow,0.36463617688501215,0.2900208499551712,0.22254175532161835,0.24456535735712845,0.2639038894402526,0.3317999561943662,-0.03900976446691329,-0.11234931372130078,0.025067474165485992,-0.0681350184770303
AU-Cpr,5.516634523445113,1.0263101434883335,0.2978905705838724,0.7107516122510986,0.43014761974503424,2.3121346157582545,0.06351168148094088,-0.2856636873413463,-0.24083538559328543,-0.5360734439277963
AU-Cum,2.4294204738001457,0.96080162034412,0.7722944908155913,1.1409468014879678,0.6503561754069062,1.6444483172603406,0.07570656909459028,0.16965634889644243,0.050615298182968504,0.009806548058595377
AU-DaP,1.4920116446314278,0.5662054655561729,0.45980689552905873,0.5951146799589846,0.4374706020811187,1.152781582296817,-0.21974153340284663,-0.3113680377790631,-0.08009877430550288,-0.2069600674753046
AU-DaS,1.6878897089296527,0.7294046185421691,0.5233449847008322,0.6787580307189865,0.5623951859947989,1.3014190240383283,-0.08652198436227188,-0.25115500012605063,0.016102589117387156,-0.17832613900136174
AU-Dry,2.278805781003986,0.8480320640663054,0.7108782324326071,1.0038355183940844,0.6005441366669848,1.6137638048999192,-0.026872079135908167,0.03751654282932004,0.004987947440520779,-0.047058719566271945
AU-Emr,3.188167648870696,0.6516173105052768,0.6451579868228843,1.0576193813914652,0.3974928217289562,1.9448129054642769,-0.2688237241664556,0.07209219395446564,-0.23843202844229378,-0.15508090772698035
AU-GWW,6.043689734339505,0.8650090218699743,0.4705952104168336,1.0871779848308736,0.37442728636809686,2.616067913358274,-0.10224880856806406,0.09001807503068915,-0.32006325188938933,-0.3843515472309025
AU-Gin,3.4658038789216223,0.945304223660131,0.6646672464454378,1.0837560400905066,0.5797547899626468,2.1255764542086184,0.016251111333937196,0.09546642142185346,-0.07448219346308693,-0.15354615199492205
AU-How,1.4874686446117584,0.7333870891828176,0.615940584552529,0.7661207611007603,0.5896235885391071,1.195884973994624,-0.05177541532087515,-0.13970560786617825,0.06330527834763278,-0.06160768737176214
AU-Lit,1.428321728446888,0.8379960341233071,0.7508167975867034,0.9449252606511288,0.6658531895922257,1.134912982786621,0.06346878802221145,0.04820916013739962,0.1520191935897648,0.08869094413736811
AU-Otw,3.57755315564678,1.714981769466994,1.0601057643234817,2.074661507326706,0.8763174393032911,1.828049881429443,0.7828955510620541,1.0854650645603336,0.25351022740038265,0.2732153833008997
AU-Rig,3.1613059049811367,0.9566317691125626,0.4960697873153904,0.8857968708721485,0.5357392127334684,1.7704153169775994,0.037116935943099505,-0.09941672400305024,-0.0801696811381285,-0.2836455258810936
AU-Rob,0.3099374508299123,0.1484586427308326,0.18162541063451668,0.19093939103132176,0.14121686364762373,0.29481877193566575,-0.13722021448688498,-0.11464607321330941,-0.07684227054670748,-0.08120126263266
AU-Sam,1.535507061359508,0.5218236671396765,0.5088237571368647,0.6710208982846819,0.39569002926090846,1.1643489406490315,-0.27141319773762196,-0.24145674760382851,-0.12426305991660858,-0.16089314156028622
AU-Stp,2.643286900842103,0.786585969293368,0.13460621445517182,0.2088195887832564,0.5070374876565312,1.703876755597881,-0.11079304477714291,-0.7679472119720634,-0.10052663079987478,-0.6362887569908731
AU-TTE,4.837887115996439,0.8243078361832588,0.4270163671326519,0.8732957935356938,0.4030626738517154,2.3655867761674103,-0.13100613656250015,-0.12169372466196648,-0.27236814481896204,-0.4110193359028038
AU-Tum,3.2228365583295586,1.792927307527752,1.3065139399097798,2.263401594477824,1.0349398561196728,1.8603330932440416,0.8713170753834476,1.277483114013013,0.40839472734040894,0.5157801826904598
AU-Whr,4.22390893866816,1.2435491564770784,0.6078503347093399,1.1752021827910075,0.6432014695521829,2.184734252325505,0.29752189849689725,0.18228287909696284,-0.0165637386878984,-0.21563583849037726
AU-Wrr,1.1000009991599016,0.4367618061097904,0.4612921673749684,0.5869368496514002,0.3432648679098151,0.8645254516196677,-0.26102807593227034,-0.23328118722703528,-0.10488841153051537,-0.11601372382775804
AU-Ync,5.806069859874652,0.8427932819932721,0.5128092378271056,1.0799608508608538,0.4001924516432864,2.756957585304979,-0.12257334331770109,0.08310705840424881,-0.3038871154598262,-0.3503139683057135
BE-Bra,0.8230969963574915,0.3891937855921355,0.2834420078984681,0.4093345813036341,0.2694955986824204,0.5699500506401368,-0.21050002855942979,-0.29279659414925485,-0.0804286522021122,-0.15978811900084988
BE-Lon,1.027059101627524,0.5252660075251367,0.48867443640448593,0.7345625646603274,0.3494379955347645,0.6832604216279557,-0.15027415973883107,-0.06044033867965848,-0.042411171635570066,-0.012389756582655842
BE-Vie,1.0960468526766785,0.41447857358122486,0.36699670865755984,0.5093275791581698,0.2986531233294003,0.7897581123167543,-0.28216238423628726,-0.3096172957672402,-0.1276941089001189,-0.1810653505226123
BR-Sa3,1.2440612510149274,0.858972812017458,0.7924933044293845,1.01876206180254,0.6681935142012162,0.9677531670005064,0.12332245969999689,0.15857281382041855,0.19274630848639973,0.17926618017563145
BW-Ma1,5.239471372875894,1.074603171905036,0.7232538094877176,1.4159240776474595,0.5489071413060707,2.6763212024973018,0.11458345056197605,0.4200125613077832,-0.14977515915239437,-0.13529464229253907
CA-Ca1,0.3873878310455925,0.1548664067574156,0.20327213759523757,0.21924737499375385,0.14358222324974362,0.3591612100134093,-0.19148026063760437,-0.1585879595130248,-0.10993342877752071,-0.10726310147098636
