sitename,cond_mean_ann
AR-SLu,397.55734407901764
AR-TF1,344.5018035173416
AT-Neu,348.1183804652908
AU-ASM,404.7295150245939
AU-Cow,401.76109117269516
AU-Cpr,392.06508210727145
AU-Ctr,401.4958075731993
AU-Cum,395.57730222741765
AU-DaP,402.4561997652054
AU-DaS,402.765816450119
AU-Dry,403.0035420417786
AU-Emr,400.8846258223057
AU-GWW,398.2017516136169
AU-Gin,394.7250570456187
AU-How,402.0751044988632
AU-Lit,404.1336712241173
AU-Otw,374.9653621315956
AU-Rig,383.7734890778859
AU-Rob,404.8550565838814
AU-Sam,399.60665758166994
AU-Stp,403.5786181986332
AU-TTE,404.4996919512749
AU-Tum,371.5609466806054
AU-Whr,382.03474670648575
AU-Wrr,364.92168575525284
AU-Ync,400.8262258682932
BE-Bra,356.32627695798874
BE-Dor,358.7027087688446
BE-Lcr,362.5213344693184
BE-Lon,360.5410117226488
BE-Maa,360.23964524269104
BE-Vie,349.1290919828415
BR-CST,406.70480942726135
BR-Npw,402.29794631004336
BR-Sa3,402.01573892434436
BW-Ma1,411.3134243488312
CA-ARB,176.02390533685684
CA-ARF,176.74476781338453
CA-Ca1,185.1391427755356
CA-Ca2,181.56120099624
CA-Cbo,326.7240978214476
CA-DB2,353.6494323015213
CA-DBB,355.7006643584796
CA-ER1,328.4364953140418
CA-Gro,296.8949173664053
CA-LP1,309.9820337306176
CA-MA1,170.39715543637672
CA-MA2,178.30926553656658
CA-MA3,178.41871337592602
CA-NS1,271.22421284019947
CA-NS2,252.4125521302223
CA-NS3,275.9127179592848
CA-NS4,NA
CA-NS5,254.4459146887064
CA-NS6,260.716233766079
CA-NS7,NA
CA-Qcu,278.418776461482
CA-Qfo,280.8556482978165
CA-SF1,282.6879247687757
CA-SF2,294.3420441051324
CA-SF3,287.7869944125414
CA-TP1,339.5060696359724
CA-TP3,337.42755892314017
CA-TPD,341.1454304556052
CH-Aws,211.8316041668256
CH-Cha,355.8601705431938
CH-Dav,347.3641991255184
CH-Fru,353.6810458600521
CH-Lae,346.96327450345547
CH-Oe1,349.0847699216434
CH-Oe2,352.8218182640917
CN-Cha,313.0663166542848
CN-Cng,308.71532544493675
CN-Dan,397.9757516980171
CN-Din,391.2056473692258
CN-Du2,314.8508708178997
CN-HaM,367.08038008213043
CN-Qia,376.93803085883457
CZ-BK1,345.95678121903364
CZ-KrP,203.75257990615708
CZ-Lnz,355.7394864857197
CZ-RAJ,203.68126612073846
CZ-Stn,210.51273061606017
CZ-wet,351.75532872279484
DE-Akm,350.96583922207355
DE-Bay,336.71078797181445
DE-Geb,351.49737624228
DE-Gri,352.33049305396924
DE-Hai,344.72515469789505
DE-HoH,352.32605414589244
DE-Hte,212.4527589380741
DE-Hzd,352.6365159804171
DE-Kli,346.3939273217145
DE-Meh,346.9920004606247
DE-Obe,340.01120906609754
DE-RuR,351.2893171787262
DE-RuS,363.31253920197486
DE-RuW,348.80817258358
DE-Seh,347.6595307985942
DE-SfN,354.64754316210747
DE-Tha,348.02665106058123
DE-Wet,334.4439633131027
DK-Fou,347.1057216525078
DK-Gds,349.5469328761101
DK-Lva,299.360003054142
DK-Ris,335.3682400584221
DK-Sor,343.2048798513413
DK-ZaH,177.81734278323088
ES-Abr,213.20051419238249
ES-Agu,224.68910577694575
ES-Cnd,224.41553129894393
ES-ES1,383.7952155470848
ES-ES2,386.23260322213173
ES-LJu,386.80729202663196
ES-LM1,222.56023495537895
ES-LM2,222.59482932942254
ES-LMa,381.2348748644193
ES-LgS,362.6732183098793
ES-VDA,368.3173271417618
FI-Hyy,314.85092946767804
FI-Kaa,267.74084211389226
FI-Ken,286.0653202285369
FI-Let,320.8989458555977
FI-Lom,278.32073193291825
FI-Qvd,163.2258349408706
FI-Sii,320.16989109516146
FI-Sod,281.10957489056244
FI-Var,280.3373478889465
FR-Aur,373.5426339060068
FR-Bil,217.08764439821243
FR-EM2,177.63033713400364
FR-FBn,378.73219725260367
FR-Fon,361.39182863757014
FR-Gri,360.2752794798683
FR-Hes,NA
FR-LBr,368.443629493316
FR-LGt,364.82526245713234
FR-Lam,213.17066782340407
FR-Lq1,353.108658015728
FR-Lq2,353.37750967343646
FR-Pue,373.02816766500473
FR-Tou,376.3428116639455
GF-Guy,401.3703470300226
GL-Dsk,261.89240522682667
HU-Bug,347.0144484192133
ID-Pag,401.0237756371498
IE-Ca1,361.82228805621463
IE-Cra,175.0837659239769
IE-Dri,355.574291408062
IL-Yat,219.47531165679297
IT-Amp,361.20683640241623
IT-BCi,384.9343049175599
IT-BFt,185.12025874853134
IT-CA1,380.97902578115463
IT-CA2,379.9926834702492
IT-CA3,378.8810932338238
IT-Col,364.05050083994865
IT-Cp2,384.6257358723217
IT-Cpz,381.5571380034089
IT-Isp,370.38319516181946
IT-LMa,372.43198624253273
IT-Lav,359.2823605371846
IT-Lsn,370.7877748250961
IT-MBo,351.90642180045444
IT-Mal,347.959554374218
IT-Noe,384.78016804565084
IT-Non,368.1922205090523
IT-PT1,363.8229979276657
IT-Ren,349.3350826881149
IT-Ro1,380.92040143013
IT-Ro2,379.626384471144
IT-SR2,379.34090761840343
IT-SRo,376.6695156037807
IT-Tor,353.5546781879205
JP-SMF,370.15100683271885
NL-Ca1,355.757768958807
NL-Hor,348.2923150062561
NL-Loo,353.48218140653944
PE-QFR,401.51708006858826
PL-wet,338.55264273285866
PT-Esp,384.21371074517566
PT-Mi1,380.4299913048744
PT-Mi2,372.5913682579994
RU-Che,195.15777633339167
RU-Fy2,175.69397577146688
RU-Fyo,315.1067668445732
RU-Zot,241.97868140041828
SD-Dem,404.4385277986527
SE-Deg,302.91359470933673
SE-Htm,346.49200488130253
SE-Lnn,205.90993322730066
