sitename,canopy_height,igbp_land_use,whc,koeppen_code,product,mat,p_over_pet,cti,aet,aet_corr,prec,prec_cond,pet,pet_over_prec,pet_over_prec_cond,aet_over_prec,aet_over_prec_cond,aet_corr_over_prec,aet_corr_over_prec_cond,cond_mean_ann
AR-SLu,4.5,MF,172.03424072265625,Bsk,plumber,21.666548133124437,0.24671177056566407,7.588640689849853,356.5304663374613,267.78885411768675,351.7000007079332,749.2573447869509,1758.5088524129055,5.000025160287807,2.3470024880609377,1.0137346193341055,0.4758451402819944,0.761412719871076,0.35740571110962116,397.5573440790176
AR-TF1,1.8565277797645992,WET,159.9023406982422,ET,ameriflux,7.175663436937179,2.2078710543178626,4.1035685539245605,250.3443291986229,0,811.4126673691317,1155.9144708864733,0,0,0,0.3085289881045634,0.21657686230593973,0,0,344.5018035173416
AT-Neu,1,GRA,239.9513397216797,Dfc,plumber,8.564706393905437,1.0479538121859018,11.392807960510254,456.5044892676739,646.5300103179452,668.5546402735988,1016.6730207388896,771.9874351158958,1.1547110566758885,0.759327157668487,0.682823006180698,0.4490180027949391,0.9670563501785878,0.6359271832039619,348.1183804652908
AU-ASM,6.5,SAV,149.10943603515625,BSh,plumber,25.484468085146503,0.21685505385045128,7.487943172454834,305.4455926995218,391.39999004655886,362.42053564679475,767.1500506713887,2104.238948618482,5.806069859874652,2.7429300783815496,0.8427932819932721,0.3981562569567768,1.0799608508608538,0.5102000445727877,404.7295150245939
AU-Cow,22,EBF,822.7951863606771,Am,plumber,24.830324072094392,3.972014637508069,3.7225048542022705,1177.3897600507175,992.8553325043216,4059.67281398116,4461.433905153855,1480.3035742941092,0.36463617688501215,0.3317999561943662,0.2900208499551712,0.2639038894402526,0.24456535735712845,0.22254175532161835,401.7610911726952
AU-Cpr,4,SAV,141.81759643554688,BSk,plumber,20.71200956676386,0.1879807845459581,6.335378646850586,290.32847886995535,201.06147810043103,282.8857151144932,674.9507972217647,1560.5771021900723,5.516634523445113,2.3121346157582545,1.0263101434883335,0.43014761974503424,0.7107516122510986,0.2978905705838724,392.06508210727145
AU-Ctr,25,EBF,943.68280029296875,Am,plumber,24.729997253429623,3.8339314013564816,6.208099365234375,1356.5598606833328,0,4230.124042869328,4631.619850442527,1625.821068432968,0.38434359180875466,0.35102644883034373,0.320690326556752,0.2928910196620995,0,0,401.4958075731993
AU-Cum,23,EBF,179.55108642578125,Cfa,plumber,20.29878565646468,0.6585923554871822,4.947836399078369,796.2163062917007,945.5026185641876,828.7000036558311,1224.2773058832488,2013.2607555197317,2.4294204738001457,1.6444483172603406,0.96080162034412,0.6503561754069062,1.1409468014879678,0.7722944908155913,395.5773022274177
AU-DaP,0.30000001192092896,GRA,597.201416015625,Aw,plumber,28.68106660780456,0.7730160103050042,5.7205095291137695,774.3643955483401,813.9017502696001,1367.6385034321358,1770.0947031973412,2040.5325727670456,1.4920116446314278,1.152781582296817,0.5662054655561729,0.43747060208111876,0.5951146799589846,0.45980689552905873,402.4561997652054
AU-DaS,16.399999618530273,SAV,732.69219970703125,Aw,plumber,28.232389159163887,0.8141579924960851,5.971405982971191,989.2856443770532,920.5940827986568,1356.2919938103732,1759.0578102604923,2289.271298656209,1.6878897089296527,1.3014190240383285,0.7294046185421691,0.5623951859947989,0.6787580307189865,0.5233449847008322,402.765816450119
